SSC_NAME16	LabourForceStatus	persons
Gobur	Employed (part-time)	17
Gobur	Not in the labour force	33
Golden Beach (Vic.)	Employed (away from work)	8
Golden Beach (Vic.)	Employed (full-time)	38
Golden Beach (Vic.)	Employed (part-time)	24
Golden Beach (Vic.)	Not in the labour force	158
Golden Beach (Vic.)	Unemployed (looking for work)	17
Golden Gully	Employed (away from work)	7
Golden Gully	Employed (full-time)	51
Golden Gully	Employed (part-time)	27
Golden Gully	Not in the labour force	55
Golden Gully	Unemployed (looking for work)	3
Golden Point (Ballarat - Vic.)	Employed (away from work)	43
Golden Point (Ballarat - Vic.)	Employed (full-time)	514
Golden Point (Ballarat - Vic.)	Employed (part-time)	373
Golden Point (Ballarat - Vic.)	Not in the labour force	630
Golden Point (Ballarat - Vic.)	Unemployed (looking for work)	103
Golden Point (Mount Alexander - Vic.)	Employed (full-time)	24
Golden Point (Mount Alexander - Vic.)	Employed (part-time)	26
Golden Point (Mount Alexander - Vic.)	Not in the labour force	28
Golden Square	Employed (away from work)	198
Golden Square	Employed (full-time)	2310
Golden Square	Employed (part-time)	1387
Golden Square	Not in the labour force	2533
Golden Square	Unemployed (looking for work)	267
Goldie	Employed (away from work)	12
Goldie	Employed (full-time)	62
Goldie	Employed (part-time)	33
Goldie	Not in the labour force	47
Goldie	Unemployed (looking for work)	8
Goldsborough (Vic.)	Employed (full-time)	7
Goldsborough (Vic.)	Employed (part-time)	8
Goldsborough (Vic.)	Not in the labour force	12
Gong Gong	Employed (away from work)	4
Gong Gong	Employed (full-time)	3
Gong Gong	Not in the labour force	3
Gonn Crossing	Employed (away from work)	3
Gonn Crossing	Employed (full-time)	21
Gonn Crossing	Employed (part-time)	12
Gonn Crossing	Not in the labour force	12
Goomalibee	Employed (away from work)	4
Goomalibee	Employed (full-time)	23
Goomalibee	Employed (part-time)	15
Goomalibee	Not in the labour force	18
Goon Nure	Employed (full-time)	34
Goon Nure	Employed (part-time)	23
Goon Nure	Not in the labour force	31
Goongerah	Employed (full-time)	3
Goongerah	Employed (part-time)	7
Goongerah	Not in the labour force	8
Goongerah	Unemployed (looking for work)	3
Gooram	Employed (away from work)	4
Gooram	Employed (full-time)	48
Gooram	Employed (part-time)	31
Gooram	Not in the labour force	32
Gooram	Unemployed (looking for work)	4
Gooramadda	Employed (full-time)	27
Gooramadda	Employed (part-time)	11
Gooramadda	Not in the labour force	18
Gooramadda	Unemployed (looking for work)	3
Goorambat	Employed (away from work)	12
Goorambat	Employed (full-time)	84
Goorambat	Employed (part-time)	47
Goorambat	Not in the labour force	77
Goorambat	Unemployed (looking for work)	4
Goornong	Employed (away from work)	16
Goornong	Employed (full-time)	181
Goornong	Employed (part-time)	95
Goornong	Not in the labour force	159
Goornong	Unemployed (looking for work)	13
Gooroc	Employed (full-time)	8
Gooroc	Employed (part-time)	3
Gooroc	Not in the labour force	4
Gorae	Employed (away from work)	16
Gorae	Employed (full-time)	72
Gorae	Employed (part-time)	34
Gorae	Not in the labour force	36
Gorae	Unemployed (looking for work)	3
Gorae West	Employed (away from work)	13
Gorae West	Employed (full-time)	81
Gorae West	Employed (part-time)	38
Gorae West	Not in the labour force	39
Gorae West	Unemployed (looking for work)	6
Gordon (Vic.)	Employed (away from work)	26
Gordon (Vic.)	Employed (full-time)	325
Gordon (Vic.)	Employed (part-time)	179
Gordon (Vic.)	Not in the labour force	283
Gordon (Vic.)	Unemployed (looking for work)	30
Gormandale	Employed (away from work)	6
Gormandale	Employed (full-time)	85
Gormandale	Employed (part-time)	44
Gormandale	Not in the labour force	84
Gormandale	Unemployed (looking for work)	18
Goroke	Employed (away from work)	7
Goroke	Employed (full-time)	70
Goroke	Employed (part-time)	44
Goroke	Not in the labour force	121
Goroke	Unemployed (looking for work)	3
Goschen	Employed (full-time)	12
Goschen	Employed (part-time)	3
Goughs Bay	Employed (away from work)	8
Goughs Bay	Employed (full-time)	41
Goughs Bay	Employed (part-time)	39
Goughs Bay	Not in the labour force	128
Goughs Bay	Unemployed (looking for work)	5
Goulburn Weir	Employed (full-time)	12
Goulburn Weir	Employed (part-time)	8
Goulburn Weir	Not in the labour force	38
Goulburn Weir	Unemployed (looking for work)	3
Gowanbrae	Employed (away from work)	61
Gowanbrae	Employed (full-time)	892
Gowanbrae	Employed (part-time)	413
Gowanbrae	Not in the labour force	611
Gowanbrae	Unemployed (looking for work)	50
Gowanford	Employed (full-time)	3
Gowanford	Employed (part-time)	3
Gowangardie	Employed (full-time)	8
Gowangardie	Employed (part-time)	3
Gowangardie	Not in the labour force	3
Gowar East	Employed (full-time)	11
Gowar East	Employed (part-time)	3
Gowar East	Not in the labour force	5
Gower	Employed (full-time)	10
Gower	Employed (part-time)	13
Gower	Not in the labour force	10
Grahamvale	Employed (away from work)	25
Grahamvale	Employed (full-time)	223
Grahamvale	Employed (part-time)	119
Grahamvale	Not in the labour force	165
Grahamvale	Unemployed (looking for work)	11
Grand Ridge	Employed (full-time)	3
Grand Ridge	Not in the labour force	4
Granite Rock	Employed (away from work)	4
Granite Rock	Employed (full-time)	71
Granite Rock	Employed (part-time)	51
Granite Rock	Not in the labour force	69
Grantville	Employed (away from work)	12
Grantville	Employed (full-time)	171
Grantville	Employed (part-time)	126
Grantville	Not in the labour force	344
Grantville	Unemployed (looking for work)	20
Granya	Employed (away from work)	4
Granya	Employed (full-time)	16
Granya	Employed (part-time)	15
Granya	Not in the labour force	39
Grassdale (Vic.)	Employed (full-time)	7
Grassdale (Vic.)	Employed (part-time)	7
Grassmere	Employed (away from work)	15
Grassmere	Employed (full-time)	131
Grassmere	Employed (part-time)	70
Grassmere	Not in the labour force	65
Grassmere	Unemployed (looking for work)	8
Grays Bridge	Employed (full-time)	3
Graytown	Employed (full-time)	10
Graytown	Employed (part-time)	14
Graytown	Not in the labour force	29
Graytown	Unemployed (looking for work)	3
Gre Gre	Employed (away from work)	3
Gre Gre	Employed (full-time)	5
Gre Gre	Not in the labour force	3
Gre Gre North	Employed (full-time)	10
Gre Gre South	Employed (part-time)	5
Gre Gre South	Not in the labour force	3
Great Western	Employed (away from work)	13
Great Western	Employed (full-time)	110
Great Western	Employed (part-time)	70
Great Western	Not in the labour force	124
Great Western	Unemployed (looking for work)	6
Gredgwin	Employed (full-time)	3
Gredgwin	Not in the labour force	3
Green Gully (Vic.)	Employed (full-time)	9
Green Gully (Vic.)	Employed (part-time)	10
Green Gully (Vic.)	Not in the labour force	15
Green Gully (Vic.)	Unemployed (looking for work)	3
Greendale (Vic.)	Employed (away from work)	18
Greendale (Vic.)	Employed (full-time)	173
Greendale (Vic.)	Employed (part-time)	100
Greendale (Vic.)	Not in the labour force	158
Greendale (Vic.)	Unemployed (looking for work)	13
Greenhill (Vic.)	Employed (full-time)	16
Greenhill (Vic.)	Employed (part-time)	16
Greenhill (Vic.)	Not in the labour force	20
Greens Creek (Vic.)	Employed (away from work)	3
Greens Creek (Vic.)	Employed (full-time)	15
Greens Creek (Vic.)	Employed (part-time)	5
Greens Creek (Vic.)	Not in the labour force	15
Greensborough	Employed (away from work)	519
Greensborough	Employed (full-time)	6402
Greensborough	Employed (part-time)	3611
Greensborough	Not in the labour force	5139
Greensborough	Unemployed (looking for work)	519
Greenvale (Vic.)	Employed (away from work)	418
Greenvale (Vic.)	Employed (full-time)	4887
Greenvale (Vic.)	Employed (part-time)	2550
Greenvale (Vic.)	Not in the labour force	3679
Greenvale (Vic.)	Unemployed (looking for work)	452
Greenwald	Employed (full-time)	16
Greenwald	Employed (part-time)	7
Greenwald	Not in the labour force	10
Grenville	Employed (full-time)	21
Grenville	Employed (part-time)	10
Grenville	Not in the labour force	35
Grenville	Unemployed (looking for work)	5
Greta (Vic.)	Employed (full-time)	32
Greta (Vic.)	Employed (part-time)	17
Greta (Vic.)	Not in the labour force	18
Greta South	Employed (away from work)	4
Greta South	Employed (full-time)	32
Greta South	Employed (part-time)	28
Greta South	Not in the labour force	35
Greta South	Unemployed (looking for work)	4
Greta West	Employed (away from work)	7
Greta West	Employed (full-time)	52
Greta West	Employed (part-time)	30
Greta West	Not in the labour force	34
Grey River	Employed (part-time)	4
Gringegalgona	Employed (full-time)	9
Gringegalgona	Not in the labour force	5
Gritjurk	Employed (full-time)	17
Gritjurk	Employed (part-time)	9
Gritjurk	Not in the labour force	9
Grovedale	Employed (away from work)	363
Grovedale	Employed (full-time)	3658
Grovedale	Employed (part-time)	2477
Grovedale	Not in the labour force	4398
Grovedale	Unemployed (looking for work)	427
Gruyere	Employed (away from work)	35
Gruyere	Employed (full-time)	283
Gruyere	Employed (part-time)	194
Gruyere	Not in the labour force	193
Gruyere	Unemployed (looking for work)	12
Guildford (Vic.)	Employed (away from work)	14
Guildford (Vic.)	Employed (full-time)	54
Guildford (Vic.)	Employed (part-time)	57
Guildford (Vic.)	Not in the labour force	107
Guildford (Vic.)	Unemployed (looking for work)	10
Gunbower	Employed (away from work)	26
Gunbower	Employed (full-time)	136
Gunbower	Employed (part-time)	93
Gunbower	Not in the labour force	139
Gunbower	Unemployed (looking for work)	11
Gundowring	Employed (away from work)	12
Gundowring	Employed (full-time)	85
Gundowring	Employed (part-time)	42
Gundowring	Not in the labour force	33
Gundowring	Unemployed (looking for work)	3
Guys Forest	Employed (full-time)	5
Guys Hill	Employed (away from work)	4
Guys Hill	Employed (full-time)	117
Guys Hill	Employed (part-time)	80
Guys Hill	Not in the labour force	80
Guys Hill	Unemployed (looking for work)	12
Gymbowen	Employed (away from work)	3
Gymbowen	Employed (full-time)	12
Gymbowen	Employed (part-time)	11
Gymbowen	Not in the labour force	8
Gymbowen	Unemployed (looking for work)	3
Haddon	Employed (away from work)	52
Haddon	Employed (full-time)	331
Haddon	Employed (part-time)	196
Haddon	Not in the labour force	268
Haddon	Unemployed (looking for work)	26
Hadfield	Employed (away from work)	135
Hadfield	Employed (full-time)	1343
Hadfield	Employed (part-time)	684
Hadfield	Not in the labour force	1954
Hadfield	Unemployed (looking for work)	183
Hallam	Employed (away from work)	245
Hallam	Employed (full-time)	2816
Hallam	Employed (part-time)	1433
Hallam	Not in the labour force	3392
Hallam	Unemployed (looking for work)	459
Hallora	Employed (away from work)	3
Hallora	Employed (full-time)	33
Hallora	Employed (part-time)	15
Hallora	Not in the labour force	32
Hallora	Unemployed (looking for work)	6
Halls Gap	Employed (away from work)	19
Halls Gap	Employed (full-time)	132
Halls Gap	Employed (part-time)	70
Halls Gap	Not in the labour force	118
Halls Gap	Unemployed (looking for work)	3
Hallston	Employed (away from work)	5
Hallston	Employed (full-time)	34
Hallston	Employed (part-time)	27
Hallston	Not in the labour force	44
Hallston	Unemployed (looking for work)	3
Hamilton (Vic.)	Employed (away from work)	290
Hamilton (Vic.)	Employed (full-time)	2440
Hamilton (Vic.)	Employed (part-time)	1672
Hamilton (Vic.)	Not in the labour force	3184
Hamilton (Vic.)	Unemployed (looking for work)	236
Hamlyn Heights	Employed (away from work)	180
Hamlyn Heights	Employed (full-time)	1769
Hamlyn Heights	Employed (part-time)	1031
Hamlyn Heights	Not in the labour force	1804
Hamlyn Heights	Unemployed (looking for work)	167
Hampton (Vic.)	Employed (away from work)	253
Hampton (Vic.)	Employed (full-time)	3797
Hampton (Vic.)	Employed (part-time)	2330
Hampton (Vic.)	Not in the labour force	3336
Hampton (Vic.)	Unemployed (looking for work)	312
Hampton East	Employed (away from work)	111
Hampton East	Employed (full-time)	1376
Hampton East	Employed (part-time)	730
Hampton East	Not in the labour force	1219
Hampton East	Unemployed (looking for work)	136
Hampton Park	Employed (away from work)	583
Hampton Park	Employed (full-time)	6827
Hampton Park	Employed (part-time)	3191
Hampton Park	Not in the labour force	6662
Hampton Park	Unemployed (looking for work)	1138
Hansonville	Employed (away from work)	8
Hansonville	Employed (full-time)	45
Hansonville	Employed (part-time)	29
Hansonville	Not in the labour force	23
Hansonville	Unemployed (looking for work)	7
Happy Valley (Golden Plains - Vic.)	Employed (away from work)	6
Happy Valley (Golden Plains - Vic.)	Employed (full-time)	17
Happy Valley (Golden Plains - Vic.)	Employed (part-time)	10
Happy Valley (Golden Plains - Vic.)	Not in the labour force	32
Happy Valley (Golden Plains - Vic.)	Unemployed (looking for work)	4
Happy Valley (Swan Hill - Vic.)	Employed (away from work)	4
Happy Valley (Swan Hill - Vic.)	Employed (full-time)	22
Happy Valley (Swan Hill - Vic.)	Employed (part-time)	3
Happy Valley (Swan Hill - Vic.)	Not in the labour force	13
Harcourt	Employed (away from work)	28
Harcourt	Employed (full-time)	239
Harcourt	Employed (part-time)	158
Harcourt	Not in the labour force	287
Harcourt	Unemployed (looking for work)	14
Harcourt North	Employed (away from work)	11
Harcourt North	Employed (full-time)	66
Harcourt North	Employed (part-time)	48
Harcourt North	Not in the labour force	84
Harcourt North	Unemployed (looking for work)	3
Harkaway	Employed (away from work)	20
Harkaway	Employed (full-time)	242
Harkaway	Employed (part-time)	175
Harkaway	Not in the labour force	192
Harkaway	Unemployed (looking for work)	22
Harmers Haven	Employed (full-time)	5
Harmers Haven	Employed (part-time)	3
Harmers Haven	Not in the labour force	16
Harrietville	Employed (away from work)	8
Harrietville	Employed (full-time)	102
Harrietville	Employed (part-time)	74
Harrietville	Not in the labour force	78
Harrietville	Unemployed (looking for work)	7
Harrow	Employed (away from work)	6
Harrow	Employed (full-time)	59
Harrow	Employed (part-time)	36
Harrow	Not in the labour force	45
Harrow	Unemployed (looking for work)	3
Harston	Employed (away from work)	3
Harston	Employed (full-time)	62
Harston	Employed (part-time)	29
Harston	Not in the labour force	44
Harston	Unemployed (looking for work)	3
Hastings (Vic.)	Employed (away from work)	213
Hastings (Vic.)	Employed (full-time)	2123
Hastings (Vic.)	Employed (part-time)	1299
Hastings (Vic.)	Not in the labour force	3242
Hastings (Vic.)	Unemployed (looking for work)	317
Hattah	Employed (full-time)	7
Hattah	Not in the labour force	11
Havelock	Employed (away from work)	3
Havelock	Employed (full-time)	9
Havelock	Employed (part-time)	13
Havelock	Not in the labour force	29
Haven	Employed (away from work)	34
Haven	Employed (full-time)	403
Haven	Employed (part-time)	264
Haven	Not in the labour force	235
Haven	Unemployed (looking for work)	19
Havilah (Vic.)	Employed (full-time)	3
Havilah (Vic.)	Employed (part-time)	5
Havilah (Vic.)	Not in the labour force	11
Hawkesdale	Employed (away from work)	14
Hawkesdale	Employed (full-time)	126
Hawkesdale	Employed (part-time)	56
Hawkesdale	Not in the labour force	55
Hawkesdale	Unemployed (looking for work)	4
Hawthorn (Vic.)	Employed (away from work)	591
Hawthorn (Vic.)	Employed (full-time)	8290
Hawthorn (Vic.)	Employed (part-time)	4027
Hawthorn (Vic.)	Not in the labour force	5204
Hawthorn (Vic.)	Unemployed (looking for work)	922
Hawthorn East	Employed (away from work)	335
Hawthorn East	Employed (full-time)	4872
Hawthorn East	Employed (part-time)	2446
Hawthorn East	Not in the labour force	3330
Hawthorn East	Unemployed (looking for work)	401
Hazel Park	Employed (full-time)	14
Hazel Park	Employed (part-time)	14
Hazel Park	Not in the labour force	12
Hazelwood	Employed (away from work)	4
Hazelwood	Employed (full-time)	54
Hazelwood	Employed (part-time)	41
Hazelwood	Not in the labour force	52
Hazelwood	Unemployed (looking for work)	9
Hazelwood North	Employed (away from work)	56
Hazelwood North	Employed (full-time)	442
Hazelwood North	Employed (part-time)	270
Hazelwood North	Not in the labour force	355
Hazelwood North	Unemployed (looking for work)	43
Hazelwood South	Employed (away from work)	10
Hazelwood South	Employed (full-time)	82
Hazelwood South	Employed (part-time)	47
Hazelwood South	Not in the labour force	68
Hazelwood South	Unemployed (looking for work)	12
Healesville	Employed (away from work)	235
Healesville	Employed (full-time)	1800
Healesville	Employed (part-time)	1256
Healesville	Not in the labour force	2253
Healesville	Unemployed (looking for work)	156
Heath Hill	Employed (away from work)	3
Heath Hill	Employed (full-time)	54
Heath Hill	Employed (part-time)	18
Heath Hill	Not in the labour force	48
Heath Hill	Unemployed (looking for work)	8
Heathcote (Vic.)	Employed (away from work)	69
Heathcote (Vic.)	Employed (full-time)	470
Heathcote (Vic.)	Employed (part-time)	315
Heathcote (Vic.)	Not in the labour force	1272
Heathcote (Vic.)	Unemployed (looking for work)	64
Heathcote Junction	Employed (away from work)	25
Heathcote Junction	Employed (full-time)	247
Heathcote Junction	Employed (part-time)	137
Heathcote Junction	Not in the labour force	183
Heathcote Junction	Unemployed (looking for work)	27
Heathcote South	Employed (full-time)	3
Heathcote South	Employed (part-time)	3
Heathcote South	Not in the labour force	7
Heatherton	Employed (away from work)	67
Heatherton	Employed (full-time)	872
Heatherton	Employed (part-time)	482
Heatherton	Not in the labour force	589
Heatherton	Unemployed (looking for work)	81
Heathmere	Employed (away from work)	11
Heathmere	Employed (full-time)	53
Heathmere	Employed (part-time)	40
Heathmere	Not in the labour force	65
Heathmere	Unemployed (looking for work)	12
Heathmont	Employed (away from work)	222
Heathmont	Employed (full-time)	2889
Heathmont	Employed (part-time)	1717
Heathmont	Not in the labour force	2375
Heathmont	Unemployed (looking for work)	260
Hedley	Employed (away from work)	7
Hedley	Employed (full-time)	37
Hedley	Employed (part-time)	10
Hedley	Not in the labour force	42
Hedley	Unemployed (looking for work)	3
Heidelberg	Employed (away from work)	175
Heidelberg	Employed (full-time)	1920
Heidelberg	Employed (part-time)	1017
Heidelberg	Not in the labour force	1507
Heidelberg	Unemployed (looking for work)	171
Heidelberg Heights	Employed (away from work)	144
Heidelberg Heights	Employed (full-time)	1805
Heidelberg Heights	Employed (part-time)	991
Heidelberg Heights	Not in the labour force	1513
Heidelberg Heights	Unemployed (looking for work)	256
Heidelberg West	Employed (away from work)	119
Heidelberg West	Employed (full-time)	1018
Heidelberg West	Employed (part-time)	692
Heidelberg West	Not in the labour force	1803
Heidelberg West	Unemployed (looking for work)	250
Hensley Park	Employed (away from work)	3
Hensley Park	Employed (full-time)	22
Hensley Park	Employed (part-time)	12
Hensley Park	Not in the labour force	3
Henty (Vic.)	Employed (full-time)	26
Henty (Vic.)	Employed (part-time)	9
Henty (Vic.)	Not in the labour force	15
Hepburn	Employed (away from work)	21
Hepburn	Employed (full-time)	128
Hepburn	Employed (part-time)	112
Hepburn	Not in the labour force	169
Hepburn	Unemployed (looking for work)	19
Hepburn Springs	Employed (away from work)	15
Hepburn Springs	Employed (full-time)	72
Hepburn Springs	Employed (part-time)	67
Hepburn Springs	Not in the labour force	107
Hepburn Springs	Unemployed (looking for work)	7
Herne Hill (Vic.)	Employed (away from work)	106
Herne Hill (Vic.)	Employed (full-time)	988
Herne Hill (Vic.)	Employed (part-time)	628
Herne Hill (Vic.)	Not in the labour force	926
Herne Hill (Vic.)	Unemployed (looking for work)	104
Hernes Oak	Employed (away from work)	19
Hernes Oak	Employed (full-time)	93
Hernes Oak	Employed (part-time)	55
Hernes Oak	Not in the labour force	73
Hernes Oak	Unemployed (looking for work)	4
Hesket	Employed (away from work)	4
Hesket	Employed (full-time)	37
Hesket	Employed (part-time)	30
Hesket	Not in the labour force	54
Hesse	Employed (full-time)	3
Hesse	Employed (part-time)	3
Hesse	Not in the labour force	3
Hexham (Vic.)	Employed (away from work)	4
Hexham (Vic.)	Employed (full-time)	44
Hexham (Vic.)	Employed (part-time)	15
Hexham (Vic.)	Not in the labour force	35
Heyfield	Employed (away from work)	43
Heyfield	Employed (full-time)	470
Heyfield	Employed (part-time)	255
Heyfield	Not in the labour force	669
Heyfield	Unemployed (looking for work)	52
Heytesbury Lower	Employed (full-time)	12
Heytesbury Lower	Employed (part-time)	10
Heytesbury Lower	Not in the labour force	9
Heywood	Employed (away from work)	56
Heywood	Employed (full-time)	423
Heywood	Employed (part-time)	261
Heywood	Not in the labour force	563
Heywood	Unemployed (looking for work)	41
Hiamdale	Employed (full-time)	10
Hiamdale	Employed (part-time)	3
Hiamdale	Not in the labour force	9
Hiawatha	Employed (full-time)	4
Hiawatha	Employed (part-time)	5
Hiawatha	Not in the labour force	4
High Camp	Employed (away from work)	7
High Camp	Employed (full-time)	23
High Camp	Employed (part-time)	13
High Camp	Not in the labour force	29
High Camp	Unemployed (looking for work)	3
Highett	Employed (away from work)	225
Highett	Employed (full-time)	3290
Highett	Employed (part-time)	1681
Highett	Not in the labour force	2463
Highett	Unemployed (looking for work)	274
Highlands	Employed (away from work)	11
Highlands	Employed (full-time)	28
Highlands	Employed (part-time)	16
Highlands	Not in the labour force	33
Highlands	Unemployed (looking for work)	3
Highton	Employed (away from work)	456
Highton	Employed (full-time)	5065
Highton	Employed (part-time)	3587
Highton	Not in the labour force	5029
Highton	Unemployed (looking for work)	517
Hilgay	Employed (full-time)	12
Hilgay	Employed (part-time)	6
Hill End (Vic.)	Employed (full-time)	50
Hill End (Vic.)	Employed (part-time)	18
Hill End (Vic.)	Not in the labour force	52
Hill End (Vic.)	Unemployed (looking for work)	8
Hillcrest (Vic.)	Employed (away from work)	7
Hillcrest (Vic.)	Employed (full-time)	26
Hillcrest (Vic.)	Employed (part-time)	16
Hillcrest (Vic.)	Not in the labour force	20
Hillcrest (Vic.)	Unemployed (looking for work)	8
Hilldene	Employed (away from work)	7
Hilldene	Employed (full-time)	95
Hilldene	Employed (part-time)	51
Hilldene	Not in the labour force	95
Hilldene	Unemployed (looking for work)	13
Hillside (East Gippsland - Vic.)	Employed (away from work)	7
Hillside (East Gippsland - Vic.)	Employed (full-time)	65
Hillside (East Gippsland - Vic.)	Employed (part-time)	40
Hillside (East Gippsland - Vic.)	Not in the labour force	45
Hillside (East Gippsland - Vic.)	Unemployed (looking for work)	3
Hillside (Melton - Vic.)	Employed (away from work)	411
Hillside (Melton - Vic.)	Employed (full-time)	5300
Hillside (Melton - Vic.)	Employed (part-time)	2814
Hillside (Melton - Vic.)	Not in the labour force	3274
Hillside (Melton - Vic.)	Unemployed (looking for work)	598
Hinnomunjie	Employed (full-time)	7
Hinnomunjie	Employed (part-time)	9
Hinnomunjie	Not in the labour force	7
Hmas Cerberus	Employed (away from work)	34
Hmas Cerberus	Employed (full-time)	789
Hmas Cerberus	Employed (part-time)	77
Hmas Cerberus	Not in the labour force	33
Hmas Cerberus	Unemployed (looking for work)	7
Hoddles Creek	Employed (away from work)	31
Hoddles Creek	Employed (full-time)	168
Hoddles Creek	Employed (part-time)	102
Hoddles Creek	Not in the labour force	153
Hoddles Creek	Unemployed (looking for work)	21
Hollands Landing	Employed (full-time)	4
Hollands Landing	Not in the labour force	7
Homebush (Vic.)	Employed (full-time)	13
Homebush (Vic.)	Not in the labour force	10
Homebush (Vic.)	Unemployed (looking for work)	3
Homerton	Employed (full-time)	6
Homerton	Employed (part-time)	6
Homerton	Not in the labour force	3
Homewood	Employed (away from work)	6
Homewood	Employed (full-time)	15
Homewood	Employed (part-time)	3
Homewood	Not in the labour force	13
Hopetoun (Vic.)	Employed (away from work)	31
Hopetoun (Vic.)	Employed (full-time)	185
Hopetoun (Vic.)	Employed (part-time)	87
Hopetoun (Vic.)	Not in the labour force	244
Hopetoun (Vic.)	Unemployed (looking for work)	13
Hopetoun Park	Employed (away from work)	19
Hopetoun Park	Employed (full-time)	254
Hopetoun Park	Employed (part-time)	121
Hopetoun Park	Not in the labour force	165
Hopetoun Park	Unemployed (looking for work)	18
Hoppers Crossing	Employed (away from work)	927
Hoppers Crossing	Employed (full-time)	10886
Hoppers Crossing	Employed (part-time)	5763
Hoppers Crossing	Not in the labour force	10218
Hoppers Crossing	Unemployed (looking for work)	1684
Hordern Vale	Employed (full-time)	10
Hordern Vale	Employed (part-time)	14
Hordern Vale	Not in the labour force	12
Hordern Vale	Unemployed (looking for work)	3
Horfield	Employed (away from work)	3
Horfield	Employed (full-time)	23
Horfield	Employed (part-time)	14
Horfield	Not in the labour force	22
Horsham	Employed (away from work)	405
Horsham	Employed (full-time)	3727
Horsham	Employed (part-time)	2310
Horsham	Not in the labour force	4301
Horsham	Unemployed (looking for work)	388
Hotham Heights	Employed (away from work)	3
Hotham Heights	Employed (full-time)	73
Hotham Heights	Employed (part-time)	19
Hotham Heights	Not in the labour force	8
Hotspur	Employed (away from work)	3
Hotspur	Employed (full-time)	17
Hotspur	Employed (part-time)	5
Hotspur	Not in the labour force	9
Hotspur	Unemployed (looking for work)	3
Howes Creek	Employed (full-time)	19
Howes Creek	Employed (part-time)	18
Howes Creek	Not in the labour force	8
Howes Creek	Unemployed (looking for work)	4
Howqua	Employed (full-time)	22
Howqua	Employed (part-time)	18
Howqua	Not in the labour force	25
Howqua Hills	Employed (full-time)	3
Howqua Inlet	Employed (full-time)	10
Howqua Inlet	Employed (part-time)	8
Howqua Inlet	Not in the labour force	30
Howqua Inlet	Unemployed (looking for work)	4
Hughesdale	Employed (away from work)	172
Hughesdale	Employed (full-time)	2343
Hughesdale	Employed (part-time)	1290
Hughesdale	Not in the labour force	1892
Hughesdale	Unemployed (looking for work)	280
Humevale	Employed (away from work)	14
Humevale	Employed (full-time)	81
Humevale	Employed (part-time)	46
Humevale	Not in the labour force	75
Humevale	Unemployed (looking for work)	3
Hunter	Employed (away from work)	5
Hunter	Employed (full-time)	12
Hunter	Employed (part-time)	3
Hunter	Not in the labour force	8
Hunterston	Employed (full-time)	13
Hunterston	Employed (part-time)	8
Hunterston	Not in the labour force	8
Huntingdale (Vic.)	Employed (away from work)	45
Huntingdale (Vic.)	Employed (full-time)	561
Huntingdale (Vic.)	Employed (part-time)	280
Huntingdale (Vic.)	Not in the labour force	479
Huntingdale (Vic.)	Unemployed (looking for work)	65
Huntly	Employed (away from work)	87
Huntly	Employed (full-time)	702
Huntly	Employed (part-time)	394
Huntly	Not in the labour force	457
Huntly	Unemployed (looking for work)	41
Huntly North	Employed (full-time)	13
Huntly North	Employed (part-time)	4
Huntly North	Not in the labour force	5
Huon	Employed (away from work)	12
Huon	Employed (full-time)	64
Huon	Employed (part-time)	41
Huon	Not in the labour force	47
Huon	Unemployed (looking for work)	7
Huon Creek	Employed (away from work)	3
Huon Creek	Employed (full-time)	35
Huon Creek	Employed (part-time)	25
Huon Creek	Not in the labour force	38
Hurstbridge	Employed (away from work)	102
Hurstbridge	Employed (full-time)	1015
Hurstbridge	Employed (part-time)	728
Hurstbridge	Not in the labour force	720
Hurstbridge	Unemployed (looking for work)	80
Icy Creek	Employed (part-time)	3
Icy Creek	Not in the labour force	9
Iguana Creek	Employed (away from work)	6
Iguana Creek	Employed (full-time)	9
Iguana Creek	Employed (part-time)	10
Iguana Creek	Not in the labour force	14
Illabarook	Employed (full-time)	3
Illabarook	Employed (part-time)	3
Illabarook	Not in the labour force	12
Illawarra	Employed (away from work)	3
Illawarra	Employed (full-time)	21
Illawarra	Employed (part-time)	18
Illawarra	Not in the labour force	16
Illowa	Employed (away from work)	7
Illowa	Employed (full-time)	96
Illowa	Employed (part-time)	57
Illowa	Not in the labour force	62
Illowa	Unemployed (looking for work)	10
Indented Head	Employed (away from work)	19
Indented Head	Employed (full-time)	198
Indented Head	Employed (part-time)	147
Indented Head	Not in the labour force	498
Indented Head	Unemployed (looking for work)	32
Indigo Valley	Employed (away from work)	13
Indigo Valley	Employed (full-time)	110
Indigo Valley	Employed (part-time)	48
Indigo Valley	Not in the labour force	73
Indigo Valley	Unemployed (looking for work)	3
Inglewood (Vic.)	Employed (away from work)	18
Inglewood (Vic.)	Employed (full-time)	132
Inglewood (Vic.)	Employed (part-time)	96
Inglewood (Vic.)	Not in the labour force	388
Inglewood (Vic.)	Unemployed (looking for work)	22
Ingliston	Employed (away from work)	3
Ingliston	Employed (full-time)	17
Ingliston	Employed (part-time)	3
Ingliston	Not in the labour force	10
Ingliston	Unemployed (looking for work)	3
Invergordon (Vic.)	Employed (away from work)	31
Invergordon (Vic.)	Employed (full-time)	198
Invergordon (Vic.)	Employed (part-time)	82
Invergordon (Vic.)	Not in the labour force	141
Invergordon (Vic.)	Unemployed (looking for work)	8
Inverleigh	Employed (away from work)	51
